index,field_name,upgrade_object_path_id,file_id,gameobject_name,title,blank_desc,short_desc,long_desc,icon_path_id,color_r,color_g,color_b,color_a
112,adBonusUltraGoldChance,262986,0,ad bonus ultra gold chance,Ad + Ultra Gold Chance,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Gold Chance,Adds an ultra gold chance bonus to the gold bonus video ad.,2369,0.8679245114326477,0.8679245114326477,0.06140974536538124,1.0
113,adBonusUltraGoldAmount,259892,0,ad bonus ultra gold amount,Ad + Ultra Gold Amount,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Gold Amount,Adds an ultra gold amount bonus to the gold bonus video ad.,2369,0.8679245114326477,0.8679245114326477,0.06140974536538124,1.0
114,adBonusUltraExpChance,265084,0,ad bonus ultra exp chance,Ad + Ultra Exp Chance,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Exp Chance,Adds an ultra exp chance bonus to the exp bonus video ad.,2888,0.0,0.5522990226745605,0.849056601524353,1.0
115,adBonusUltraExpAmount,267798,0,ad bonus ultra exp amount,Ad + Ultra Exp Amount,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Exp Amount,Adds an ultra exp amount bonus to the exp bonus video ad.,2888,0.0,0.5522990226745605,0.849056601524353,1.0
116,adBonusUltraEnergyChance,260528,0,ad bonus ultra energy chance,Ad + Ultra Income Chance,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Energy Chance,Adds an ultra energy income chance bonus to the energy bonus video ad.,2896,0.03484334424138069,0.8207547068595886,0.03484334424138069,1.0
117,adBonusUltraEnergyAmount,262419,0,ad bonus ultra energy amount,Ad + Ultra Income Amount,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Energy Amount,Adds an ultra energy income amount bonus to the energy bonus video ad.,2896,0.03484334424138069,0.8207547068595886,0.03484334424138069,1.0
118,towerLives,259709,0,tower lives,Tower Lives,+<value>,<color=yellow>+<value></color> Tower Lives,Increases the number of enemies that can leak into the tower before you are defeated (default is 1).,2414,1.0,0.501960813999176,0.501960813999176,1.0
119,maxBossRushWave,268956,0,boss rush max wave,Max Boss Rush,+<value>%,<color=yellow>+<value>%</color> Max Boss Rush,Increases the max wave you can boss rush to (additive to the base 75% amount).,2424,0.13394445180892944,0.7843137383460999,0.13394445180892944,1.0
120,bossRushSkippedWaves,265052,0,boss rush skipped waves,Boss Rush Waves,+<value>,<color=yellow>+<value></color> Boss Rush Waves,"Increases the number of waves skipped while boss rushing. Bosses will still spawn on every wave, even if it's not a multiple of 10.",2424,0.13394445180892944,0.7843137383460999,0.13394445180892944,1.0
121,tournamentTrophies,265713,0,tournament trophies,Tournament Trophies,+<value>%,<color=yellow>+<value>%</color> Tourney Trophies,Increases the trophy rewards from completing PvP Tournaments.,2417,0.9921568632125854,0.7411764860153198,0.15294118225574493,1.0
122,weeklyTickets,265433,0,weekly tickets,Weekly Tickets,+<value>%,<color=yellow>+<value>%</color> Weekly Tickets,Increases the Weekly Ticket rewards from completing Weekly Tasks.,2887,0.9921568632125854,0.7411764860153198,0.15294118225574493,1.0
123,mapPerks,257868,0,map perks,Map Perks,+<value>%,<color=yellow>+<value>%</color> Map Perks,Increases the effect of all positive perks on each map.,2413,0.0,1.0,0.0,1.0
124,wavePerkUnlocked,258908,0,wave perk unlock,Unlock Wave Perks,+<value>,Unlock Wave Perks,"Unlocks the ""Wave Perks"" mechanic, which grant temporary boosts to your current run.",2926,0.0,0.250980406999588,0.501960813999176,1.0
125,wavePerkWaves,257081,0,wave perk waves,Wave Perk Waves,-<value>%,<color=yellow>-<value>%</color> Wave Perk Waves,Reduces the number of waves required to unlock your next Wave Perk.,2606,0.0,0.250980406999588,0.501960813999176,1.0
126,wavePerkEffects,265242,0,wave perk effect,Wave Perk Effect,+<value>%,<color=yellow>+<value>%</color> Wave Perk Effects,Increases the effect of all Wave Perks.,2430,0.0,0.250980406999588,0.501960813999176,1.0
127,wavePerkRerolls,262393,0,wave perk rerolls,Wave Perk Rerolls,+<value>,<color=yellow>+<value></color> Free Rerolls,Increases the number of times you can reroll Wave Perks without paying gems.,2940,0.0,0.250980406999588,0.501960813999176,1.0
128,automationWorkshopCooldown,263008,0,automation workshop cooldown,Auto Upgrade Times,-<value>%,<color=yellow>-<value>%</color> Auto Upgrade Times,Reduces the time required when researching new Automation upgrades.,2911,0.3294117748737335,0.2980392277240753,0.4431372582912445,1.0
129,reduceEnemyShields,263250,0,reduce enemy shield,Enemy Shield Reduction,-<value>%,<color=yellow>-<value>%</color> Enemy Shields,Reduces the enemy shield amount that causes certain hero types to deal less damage.,2880,0.501960813999176,0.0,0.0,1.0
130,increaseEnemyWeakness,259571,0,increase enemy weakness,Enemy Weakness Bonus,+<value>%,<color=yellow>+<value>%</color> Enemy Weakness,Increases the enemy weakness amount that causes certain hero types to deal more damage.,2922,0.501960813999176,0.0,0.0,1.0
131,goldenGoblinChance,261187,0,hoarder golden chance,Golden Goblin Chance,+<value>%,<color=yellow>+<value>%</color> Golden Goblin Chance,"Increases the chance that a Goblin Hoarder spawns as the Golden variant, which rewards 100x more gold. The spawn chance is halved from Automation spawns.",2356,0.7843137383460999,0.0,0.0,1.0
132,goldenProducerChance,266236,0,producer golden chance,Golden Mage Chance,+<value>%,<color=yellow>+<value>%</color> Golden Mage Chance,"Increases the chance that a Power Mage spawns as the Golden variant, which rewards 10x more energy. The spawn chance is halved from Automation spawns.",2356,0.7843137383460999,0.0,0.0,1.0
133,goldenTrainerChance,268568,0,trainer golden chance,Golden Trainer Chance,+<value>%,<color=yellow>+<value>%</color> Golden Training Dummy Chance,"Increases the chance that a Training Dummy spawns as the Golden variant, which rewards 5x more exp. The spawn chance is halved from Automation spawns.",2356,0.7843137383460999,0.0,0.0,1.0
134,supremeRunesDrop,265145,0,supreme shadow runes,Supreme Runes,+<value>,<color=yellow>+<value></color> Supreme Runes,Increases the number of Supreme Runes rewarded from the Supreme Shadow boss.,2439,0.7843137383460999,0.0,0.0,1.0
135,supremeSpawnChance,263177,0,supreme shadow spawn chance,Supreme Shadow Chance,+<value>%,<color=yellow>+<value>%</color> Supreme Shadow Chance,Increases the spawn chance of the Supreme Shadow boss.,2356,0.7843137383460999,0.0,0.0,1.0
136,supreme2xRunesChance,261964,0,2x supreme runes chance,2x Supreme Runes Chance,+<value>%,<color=yellow>+<value>%</color> 2x Supreme Runes Chance,Increases the chance that the Supreme Shadow boss drops 2x Supreme Runes when killed.,2439,0.7843137383460999,0.0,0.0,1.0
137,supremeAlienSpawnChance,264788,0,supreme alien spawn chance,Supreme Alien Chance,+<value>%,<color=yellow>+<value>%</color> Supreme Alien Chance,Increases the spawn chance of the Supreme Alien boss.,2356,1.0,0.19607843458652496,0.19607843458652496,1.0
138,supremeAlienTechDrop,258297,0,supreme alien tech drop,Supreme Tech,+<value>,<color=yellow>+<value></color> Supreme Tech,Increases the number of Supreme Tech rewarded from the Supreme Alien boss.,2872,1.0,0.19607843458652496,0.19607843458652496,1.0
139,supTechDmg1Bonus,261088,0,sup tech dmg1 bonus,Damage I Bonus,+<value>%,<color=yellow>+<value>%</color> Bonus,"Increases the bonus damage given from the Damage I upgrade in the original Tech Tree. For example, at level 1 (+10%), this will change the Damage I upgrade from +10% to +11% per level.",2735,1.0,0.0,0.0,1.0
140,supTechDmg2Bonus,261877,0,sup tech dmg2 bonus,Damage II Bonus,+<value>%,<color=yellow>+<value>%</color> Bonus,"Increases the bonus damage given from the Damage II upgrade in the original Tech Tree. For example, at level 1 (+10%), this will change the Damage II upgrade from +50% to +55% per level.",2735,1.0,0.0,0.0,1.0
141,supTechGold1Bonus,268763,0,sup tech gold1 bonus,Kill Gold I Bonus,+<value>%,<color=yellow>+<value>%</color> Bonus,"Increases the bonus gold given from the Kill Gold I upgrade in the original Tech Tree. For example, at level 1 (+10%), this will change the Kill Gold I upgrade from +10% to +11% per level.",2422,1.0,1.0,0.0,1.0
142,supTechGold2Bonus,263449,0,sup tech gold2 bonus,Kill Gold II Bonus,+<value>%,<color=yellow>+<value>%</color> Bonus,"Increases the bonus gold given from the Kill Gold II upgrade in the original Tech Tree. For example, at level 1 (+10%), this will change the Kill Gold II upgrade from +50% to +55% per level.",2422,1.0,1.0,0.0,1.0
143,supTechPrestige1Bonus,257131,0,sup tech prestige1 bonus,Prestige I Bonus,+<value>%,<color=yellow>+<value>%</color> Bonus,"Increases the bonus Prestige Power given from the Prestige Power I upgrade in the original Tech Tree. For example, at level 1 (+10%), this will change the Prestige Power I upgrade from +15% to +16.5% per level.",2928,0.686274528503418,0.0,1.0,1.0
144,supTechCritDmgMaxLevel,260010,0,sup tech crit dmg max,Crit Damage Max,+<value>,<color=yellow>+<value></color> Max Level,Increases the max level of the Crit Damage upgrade in the original Tech Tree.,2432,1.0,0.501960813999176,0.0,1.0
145,supTechEnemyHpMaxLevel,261146,0,sup tech enemy hp max,Enemy HP Max,+<value>,<color=yellow>+<value></color> Max Level,Increases the max level of the Enemy HP upgrade in the original Tech Tree.,2418,0.501960813999176,0.0,0.0,1.0
146,supTechExp1Bonus,264378,0,sup tech exp 1 bonus,Rank Exp Bonus,+<value>,<color=yellow>+<value></color> Rank Exp,"Increases the rank exp given from the Rank Exp upgrade in the original Tech Tree. For example, at level 1 (+3), this will change the Rank Exp upgrade from +2 to +5 per level.",2880,0.09803921729326248,0.686274528503418,1.0,1.0
147,supTechBossGoldMaxLevel,260737,0,sup tech boss gold max level,Boss Gold Max,+<value>,<color=yellow>+<value></color> Max Level,Increases the max level of the Boss Gold upgrade in the original Tech Tree.,2890,0.8705882430076599,0.8705882430076599,0.0,1.0
148,supTechBossExpMaxLevel,257830,0,sup tech boss exp max level,Boss Exp Max,+<value>,<color=yellow>+<value></color> Max Level,Increases the max level of the Boss Exp upgrade in the original Tech Tree.,2726,0.0,0.5882353186607361,0.8823529481887817,1.0
149,astralDmgGroupPerks1,261338,0,astral dmg group perks (1),Damage Group Perks,+<value>%,<color=yellow>+<value>%</color> Damage Group Perks,Increases the effect of all Damage Group Perks on the Astral Battlegrounds map.,2735,1.0,0.0,0.0,1.0
150,astralGoldGroupPerks2,257399,0,astral gold group perks (2),Gold Group Perks,+<value>%,<color=yellow>+<value>%</color> Gold Group Perks,Increases the effect of all Gold Group Perks on the Astral Battlegrounds map.,2422,1.0,1.0,0.0,1.0
151,astralExpGroupPerks3,265562,0,astral exp group perks (3),Exp Group Perks,+<value>%,<color=yellow>+<value>%</color> Exp Group Perks,Increases the effect of all Exp Group Perks on the Astral Battlegrounds map.,2880,0.09803921729326248,0.686274528503418,1.0,1.0
152,astralEnergyGroupPerks4,269007,0,astral energy group perks (4),Energy Group Perks,+<value>%,<color=yellow>+<value>%</color> Energy Group Perks,Increases the effect of all EnergyGroup Perks on the Astral Battlegrounds map.,2423,0.0,1.0,0.0,1.0
153,astralBossGroupPerks5,257956,0,astral boss group perks (5),Boss Group Perks,+<value>%,<color=yellow>+<value>%</color> Boss Group Perks,Increases the effect of all Boss Group Perks on the Astral Battlegrounds map.,2356,0.686274528503418,0.0,0.0,1.0
154,astralSkillGroupPerks6,266977,0,astral skills group perks (6),Skill Group Perks,+<value>%,<color=yellow>+<value>%</color> Skill Group Perks,Increases the effect of all Skill Group Perks on the Astral Battlegrounds map.,2934,0.0,1.0,1.0,1.0
155,astralSynergyGroupPerks7,265152,0,astral synergy group perks (7),Synergy Group Perks,+<value>%,<color=yellow>+<value>%</color> Synergy Group Perks,Increases the effect of all Synergy Group Perks on the Astral Battlegrounds map.,2910,0.09803921729326248,0.8823529481887817,0.09803921729326248,1.0
156,astralMapPerks,266916,0,astral map perks (all),Astral Map Perks,+<value>%,<color=yellow>+<value>%</color> Astral Map Perks,Increases the effect of all Map Perks on Astral Battlegrounds.,2410,1.0,1.0,0.0,1.0
